Date,Volume,Downtime_hrs,Rejected_units,Scrap_units,Defects_pct,Yield_pct,Energy_kWh,Headcount
2026-05-01,2980,3,86,101,2.8,94.1,1920,82
2026-05-02,3050,2,98,104,3.1,93.8,1950,83
2026-05-03,2920,4,87,83,2.9,94.5,1880,81
2026-05-04,3080,3,95,105,3.0,93.9,1970,84
2026-05-05,3010,2,84,81,2.7,94.8,1930,82
2026-05-06,2950,5,98,104,3.2,93.6,1900,80
2026-05-07,3060,3,88,97,2.8,94.3,1960,83
2026-05-08,3080,4,99,108,3.1,93.7,1980,84
2026-05-09,2990,2,89,95,2.9,94.2,1920,82
2026-05-10,3050,3,94,101,3.0,94.0,1950,83
2026-05-11,2920,5,100,103,3.3,93.5,1870,80
2026-05-12,3080,3,89,94,2.8,94.4,1970,84
2026-05-13,2980,4,95,102,3.1,93.8,1930,82
2026-05-14,2600,8,143,136,5.2,90.3,1940,81
2026-05-15,2200,12,186,157,7.8,86.5,1910,80
2026-05-16,1900,14,190,194,9.1,83.2,1890,79
2026-05-17,1950,14,191,186,8.9,83.8,1900,80
2026-05-18,2150,9,147,143,6.4,88.1,1920,81
2026-05-19,2450,6,124,118,4.8,91.0,1930,82
2026-05-20,2650,5,113,111,4.1,92.2,1940,82
2026-05-21,2950,4,98,104,3.2,93.6,1930,82
2026-05-22,3050,3,91,100,2.9,94.1,1960,83
2026-05-23,3000,4,93,102,3.0,93.9,1940,82
2026-05-24,2930,3,84,93,2.8,94.3,1920,81
2026-05-25,3040,2,84,86,2.7,94.7,1950,84
2026-05-26,2980,4,95,102,3.1,93.8,1930,82
2026-05-27,2900,5,96,106,3.2,93.5,1890,80
2026-05-28,3030,3,90,97,2.9,94.2,1960,83
2026-05-29,3060,2,88,90,2.8,94.5,1970,84
2026-05-30,2980,4,92,102,3.0,93.9,1940,82
2026-05-31,2900,3,87,95,2.9,94.1,1910,81
